1,3,5,6,7,8,10,19,20,27,29,34,35,37,40,41,42,43,49,50,74,80,82,84,86,88,90,92,100,110,111,245,246,250,255,260,265,300,301,302,303,440,490,500,502,504,505,506,513,520,530,533,536,538,546,590,591,592,600,610,611,630,650,651,653,690,700,710,711,730,740,776,810,830,856,949,950,992,994,997,998,999
ocn432302869,OCoLC,2.01007E+13,m        b        ,cr cga---uuuuu,090821s1973    caua     bt  f000 0 eng d,,,,,,,  |a(Sirsi) o432302869;  |a;  |a;  |a;  |a;  |a;  |a;  |a;  |a;  |a;  |a,  |aAD0758664|bDTI,  |aAD#|cAD#,,,,  |aAD#A,,,,,,0 |aD 208.14/2:NPS-57HW73021A,  |aNPS-57HW73021A,,,"1 |aHokenson, Gustave John.",,,13|aAn analytical study of incompressible free turbulent mixing in adverse and favorable pressure gradients /|cby Gustave Hokenson.,,,,"  |aMonterey, California :|bNaval Postgraduate School,|c1973.",,  |a44 p. :|bill. ;|c28 cm.,,,,,,"  |aTitle from cover.;  |a""February 1973""--Cover.;  |a""NPS-57HW73021A""--Cover.;  |aDTIC Identifiers: Pressure gradients, turbulent mixing, eddy viscosity.;  |aAuthor(s) subject terms: Turbulence, mixing, wakes, jets, shear layers.",,  |aIncludes bibliographical references (p. 41),,"  |a""Approved for public release; distribution unlimited""--Cover.",  |aTechnical report; 1973.,  |aThe equations governing free turbulent mixing are derived from the Navier-Stokes equations and transformed into a mathematical plane which is explicitly independent of the eddy viscosity model. The coupled momentum and turbulent kinetic energy equations are analytically solved in the transformed plane by a perturbation technique and subsequently retransformed into physical space based on a hypothesized dependence of the eddy viscosity on the turbulent kinetic energy. The adequacy of a given model in reproducing the velocity and turbulent kinetic energy field is assessed by comparing the results of the analysis with some experimental data of planar turbulent wake mixing in constant adverse and favorable pressure gradients. (Author),,,,,,,,,,,,, 0|aHydrodynamics.; 0|aNavier-Stokes equations|xNumerical solutions.; 0|aTurbulence.,,,,,2 |aNaval Postgraduate School (U.S.),,,,,,,,  |lgen|nL|aQA913|b.H7|s1|tnorm|u00001|i32768001685209,,,  |aC0|bAD#,,,
ocn455456007,OCoLC,2.01006E+13,m        b        ,cr cga---uuuuu,091009s1972    caua     bt  f000 0 eng d,,,,,,,  |a(Sirsi) o455456007;  |a;  |a;  |a;  |a,  |aAD0747986|bDTI,  |aAD#|cAD#,,,,  |aAD#A,,,,,,0 |aD 208.14/2:NPS-59NN72082A,  |aNPS-59NN72082A,,,"1 |aSmith, Lloyd H.,|d1924-",,,10|aFlow studies of axisymmetric bodies at extreme angles of attack /|cby Lloyd H. Smith and Robert H. Nunn.,,,,"  |aMonterey, California :|bNaval Postgraduate School,|c1972.",,  |a48 p. :|bill. ;|c28 cm.,,,,,,"  |aTitle from cover.;  |a""18 August 1972""--Cover.;  |a""NPS-59NN72082A""--Cover.;  |aDTIC Identifiers: Vortex shedding, Karman vortex streets.",,  |aIncludes bibliographical references (p. 28-30),,"  |a""Approved for public release; distribution unlimited""--Cover.",  |aTechnical report; 1972.,  |aResults of a background investigation and initial theoretical models are described for the flow about axisymmetric bodies at extreme angles of attack. Present state-of-the-art is described with the general conclusions that the current understanding of extreme angle of attack flow phenomena is relatively well developed for angles of attack up to about 40 degrees (symmetric vortex pair in the wake) and that for higher angles of attack there are several important questions yet to be answered. The initial analytical model qualitatively predicts the occurrence of induced yaw forces and is suggested as a basis for further refinements and experimental comparisons. Expressions for the calculation of local forces and pressure distributions are developed for the case of an axymmetric steady vortex wake. (Author),,,,,,,,  |akmc/kmc 10/13/09.,,,,, 0|aVortex-motion.; 0|aFluid mechanics.,,,,"1 |aNunn, R. H.|q(Robert H.)",2 |aNaval Postgraduate School (U.S.),,,,,,,,  |lgen|nL|aQA925|b.N924|s1|tnorm|u00001|i32768001685373,,,  |aC0|bAD#,,,
ocn422750804,OCoLC,2.00907E+13,,cr bn|||||||||,090707s1977    caua     bt  f000 0 eng d,,,,,,,  |a(Sirsi) o422750804;  |a(CStRLIN)CDKGR6055113-B,  |aADA044268|bDTI,  |aAD#|cAD#|dAD#,,,,  |aAD#A,,,,,,0 |aD 208.14/2:NPS-69GM77081,  |aNPS-69GM77081,,,"1 |aGarrison, C. J.|q(Clarence Jimmy),|d1934-",,,14|aThe second-order solution for wave interaction with a submerged cylinder /|cby C.J. Garrison and G.W. Smith.,,,,"  |aMonterey, Calif. :|bNaval Postgraduate School,|c1977.",,  |a92 p. :|bill. ;|c28 cm.,,,,,,"  |aTitle from cover.;  |a""August 1977""--Cover.;  |a""NPS-69Gm77081""--Cover.",,  |aIncludes bibliographical references (p. 92).,,"  |a""Approved for public release; distribution unlimited""--Cover.",  |aTechnical report; 1 August 1977.,"  |aThe second-order solution of the problem of the interaction of a train of regular waves with a completely submerged, horizontal circular cylinder in water of finite depth is presented for two-dimensional flow. The incident wave is developed as a second-order Stokes' wave by use of a perturbation method and the solution of both the first-order and second-order scatter potentials is obtained numerically using the Green's function approach. The hydrodynamic pressure and resulting first-order and second-order force coefficients are determined numerically and presented for various values of water depth, cylinder depth of submergence and wave length. (Author)",,,,,,,,,,,,," 0|aFluid dynamics|xMathematical models.; 0|aWave-motion, Theory of.; 0|aPerturbation (Mathematics); 0|aGreen's functions.; 0|aSurface waves|xMathematical models.",,,,"1 |aSmith, Glen Walter.",2 |aNaval Postgraduate School (U.S.),,,,,,,,  |lgen|nL|aQA927|b.G27|s1|tnorm|u00001|i32768001685415,,,  |aC0|bAD#,,,
ocn449909318,OCoLC,2.0091E+13,,cr bn|||||||||,091006s1971    caua     b   f000 0 eng d,,,,,,,  |a(Sirsi) o449909318;  |a(CStRLIN)CDKGR6055177-B,  |aAD0728051|bDTI,  |aAD#|cAD#,,,,  |aAD#A,,,,,,0 |aD 208.14/2:NPS-57BP7161A,  |aNPS-57BP7161A,,,"1 |aBall, Robert E.",,,10|aVibration analysis of cylindrical shells by several finite difference schemes /|cby Robert E. Ball.,,,,"  |aMonterey, California :|bNaval Postgraduate School,|c1971.",,  |a35 p. :|bill. ;|c28 cm.,,,,,,"  |aTitle from cover.;  |aSponsoring military activity: Naval Postgraduate School, Monterey, California 93940.;  |a""June 1971""--Cover.;  |a""NPS-57BP7161A""--Cover.;  |aDTIC Identifiers: Finite difference theory, cylindrical shells.;  |aAuthor(s) key words: Shells, cylinders, vibrations, finite differences.",,  |aIncludes bibliographical references (p. 24).,,"  |a""Approved for public release; distribution unlimited""--Cover.",  |aTechnical report; 1971.,"  |aSeveral finite differencing schemes are used to compute the natural frequencies and mode shapes of simply supported circular cylindrical shells in an attempt to determine the most accurate numerical mode. Sets of difference equations are developed from the governing differential field equations and by minimizing the finite difference form of the Lagrangian energy function. Both finite differences and trigonometric expansions are used to model the circumferential behavior. Staggered or half-stations are used in addition to the conventional differencing schemes. The results indicate that the schemes using the trigonometric expansions are generally more accurate than those using finite differences for the circumferential derivatives. Furthermore, the conventional differencing scheme is shown to be as accurate as the half-station scheme when the field equation approach is used in conjunction with the trigonometric expansions.",,,,,,,,  |ack/ 10/6/09.,,,,, 0|aCylinders|xVibration.; 0|aShells (Engineering),,,,,2 |aNaval Postgraduate School (U.S.),,,,,,,,  |lgen|nL|aQA935|b.B234|s1|tnorm|u00001|i32768001687437,,,  |aC0|bAD#,,,
ocn428128780,OCoLC,2.00907E+13,,,090728s1976    cau      b   f000 0 eng d,,,,,,,  |a(Sirsi) o428128780;  |a(CStRLIN)CDKGR6055261-B,  |aADA024764,  |aAD#|cAD#,,,,  |aAD#A,,,,,,0 |aD 208.14/2:NPS-53FE76051,  |aNPS-53FE76051,,,"1 |aFranke, Richard.",,,12|aA program for the numerical solution of large sparse systems of algebraic and implicitly defined stiff differential equations /|cby Richard Franke.,,,,"  |aMonterey, California :|bNaval Postgraduate School,|c1976..",,  |a54 p. ;|c28 cm.,,,,,,"  |aTitle from cover.;  |a""NPS-53Fe76051""--Cover.;  |a""May 1976""--Cover.;  |aTechnical report for period October 1975 - April 1976.",,  |aIncludes bibliographical references (p. 51).,,"  |a""Approved for public release; distribution is unlimited""--Cover.",  |aTechnical report; 1976.,  |aThis report documents a program for the numerical solution of large sparse systems of algebraic and implicitly defined stiff differential equations. The principal use is intended to be the solution of differential equations arising from time dependent partial differential equations when the finite element method is used to discretize the space domain. The use of compact matrix storage techniques and iteration for the solution of the quasi-Newton iterates in Gear's method makes the program extremely efficient both in terms of storage requirements and execution times.,,,,,,,,  |ack/ 7/30/09.,,,,, 0|aDifferential equations|xNumerical solutions|xData processing.; 0|aFinite element method|xComputer programs.; 0|aMatrices.,,,,,2 |aNaval Postgraduate School (U.S.),,,,,,,,  |lgen|nL|aQA371|b.F73|s1|tnorm|u00001|i32768001689458,,,  |aC0|bAD#,,,
ocn423385982,OCoLC,2.01007E+13,,,090709s1979    caua     b   f000 0 eng d,,,,,,,  |a(Sirsi) o423385982;  |a;  |a;  |a;  |a;  |a;  |a;  |a;  |a;  |a;  |a;  |a;  |a;  |a;  |a;  |a;  |a;  |a;  |a;  |a;  |a;  |a;  |a;  |a,  |aADA070085,  |aAD#|cAD#,,,,  |aAD#A,,,,,,0 |aD 208.14/2:NPS-53-79-002,  |aNPS-53-79-002,,,"1 |aFranke, Richard.",,,"13|aAn efficient method for solving stiff transient field problems arising from FEM formulations /|cRichard Franke, David Salinas.",,,,"  |aMonterey, California :|bNaval Postgraduate School,|c1979.",,  |a18 p. :|bill. ;|c28 cm.,,,,,,"  |aTitle from cover.;  |a""Prepared for: Chief of Naval Research, Arlington, VA 22217."";  |a""NPS-53-79-002""--Cover.;  |aTechnical report for period January - March 1979.",,  |aIncludes bibliographical references (p. 16),,"  |a""Approved for public release; distribution is unlimited""--Cover.",  |aTechnical report; 1979.,"  |aThe method chosen for solution of stiff systems (*) is a version of Gear's method which solves the system in its implicit form.  This leads to the necessity of being able to solve (repeatedly) linear algebraic equations whose coefficient matrix has the same sparse and banded nature as (Aij).  Storage requirements for various orders of polynomial traingular elements under compact storage mode, profile storage mode, and banded symmetric storage mode are given and compared. For large systems (*), compact storage mode leads to significantly reduced requirements.  Consideration of the linear algebraic systems which arise in Gear's method reveals that iteration should be computationally efficient.  A comparison between various solution methods is given for a nonlinear reactor dynamics proglem.  Associated with each solution method is a different storage mode.",,,,,,,,  |ack/ oclc 7/9/09.,,,,, 0|aDifferential equations|xNumerical solutions.; 0|aFinite element method.; 0|aMatrices.,,,,"1 |aSalinas, David.",2 |aNaval Postgraduate School (U.S.),,,,,,,,  |lgen|nL|aQA371|b.F724|s1|tnorm|u00001|i32768001689474,,,  |aC0|bAD#,,,
ocn423385931,OCoLC,2.01007E+13,m        b        ,cr cga---uuuuu,090709s1977    caua     bt  f000 0 eng d,,,,,,,  |a(Sirsi) o423385931;  |a;  |a;  |a;  |a;  |a;  |a;  |a;  |a;  |a;  |a;  |a;  |a;  |a;  |a;  |a;  |a;  |a;  |a;  |a;  |a;  |a;  |a,  |aADA047143|bDTI,  |aAD#|cAD#|dAD#,,,,  |aAD#A,,,,,,0 |aD 208.14/2:NPS-55-77-29,  |aNPS-55-77-29,,,"1 |aTaylor, James G.",,,10|aError bounds for the Liouville-Green approximation to initial-value problems /|cby James G. Taylor.,,,,"  |aMonterey, Calif. :|bNaval Postgraduate School,|c1977.",,  |a19 p. :|bill. ;|c28 cm.,,,,,,"  |aTitle from cover.;  |a""Prepared for: Office of Naval Research""--Cover.;  |a""June 1977""--Cover.;  |a""NPS-55-77-29""--Cover.",,  |aIncludes bibliographical references (p. 18-19),,"  |a""Approved for public release; distribution unlimited""--Cover.",  |aTechnical report; 1977.,"  |aNew error bounds are developed for the Liouville-Green approximation to the solution of an important class of differential equations arising in military operations research (specifically, variable-coefficient Lanchester-type equations of modern warfare for combat between two homogeneous forces). In contrast to many previous results, our error bounds apply to initial-value problems and are expressed in terms of initial conditions. Previous error bounds for boundary-value problems are sharpened as a consequence of our development of these new error bounds for initial-value problems. Finally, applications are made to some important specific models of combat between two homogeneous forces with time-dependent attrition-rate coefficients. (Author)",,,,,,,,,,,,, 0|aInitial value problems|xNumerical solutions.; 0|aDifferential equations|xNumerical solutions.; 0|aCombat|xMathematical models.,,,,,2 |aNaval Postgraduate School (U.S.),,,,,,,,  |lgen|nL|aQA378|b.T27|s1|tnorm|u00001|i32768001689763,,,  |aC0|bAD#,,,
ocm25652308 ,OCoLC,2.01006E+13,m        b        ,cr cga---uuuuu,920415s1977    caua     bt  f000 0 eng d,,,,,,,  |a(Sirsi) o25652308;  |a;  |a;  |a;  |a,  |aADA040072|bDTI,  |aQCE|cQCE|dCIT|dAD#,,,,  |aAD#A,,,,,,0 |aD 208.14/2:NPS-67GN77051,  |aNPS-67GN77051,  |aQA379|b.G38 1977,,"1 |aGawain, Theodore Henry.",,,10|aImproved finite difference formulas for boundary value problems /|cby T.H. Gawain and R.E. Ball.,,,,"  |aMonterey, California :|bNaval Postgraduate School,|c1977.",,  |a1 v. (various pagings) :|bill. ;|c28 cm.,,,,,,"  |aTitle from cover.;  |a""May 1977""--Cover.;  |a""NPS-67GN77051""--Cover.;  |aAuthor(s) key words: Finite difference formulas, boundary value problems.",,  |aIncludes bibliographical references.,,"  |a""Approved for public release; distribution unlimited""--Cover.","  |aTechnical report; May 1, 1977.","  |aThis paper deals with the numerical solution of linear differential equations of fourth order by finite differences. It points out significant (but usually overlooked) errors which result from the conventional method of imposing the boundary conditions in such problems. Revised finite difference formulas are derived which apply near the boundaries and which eliminate the above errors. Three commonly encountered boundary conditions are considered. These correspond, in the terminology of beam analysis, to a clamped end, to a simply supported end and to a free end. The improvement in accuracy that can be achieved with the revised formulas is illustrated by two representative examples. The revised formulas are shown to reduce the overall error of the numerical solution by a factor of about five in a typical case. (Author)",,,,,,,,  |akmc/kmc 10/23/09.,,,,," 0|aBoundary value problems.; 0|aDifferential equations, Partial.",,,,"1 |aBall, Robert E.",2 |aNaval Postgraduate School (U.S.),,,,,,,,  |lgen|nL|aQA379|b.G27|s1|tnorm|u00001|i32768001689797,,,  |aC0|bAD#,,,
ocn436445536,OCoLC,2.01007E+13,m        b        ,cr cga---uuuuu,090914s1973    caua     b   f000 0 eng d,,,,,,,  |a(Sirsi) o436445536;  |a;  |a;  |a;  |a;  |a;  |a;  |a;  |a;  |a;  |a,  |aAD0764536|bDTI,  |aAD#|cAD#,,,,  |aAD#A,,,,,,0 |aD 208.14/2:NPS-59CG73061A,  |aNPS-59CG73061A,,,"1 |aCooper, Thomas Edward.",,,13|aAn analytical model for predicting the daily temperature cycle of container stored ordnance /|cby Thomas E. Cooper and Allen H. Wirzburger.,,,,"  |aMonterey, California :|bNaval Postgraduate School,|c1973.",,  |a61 p. :|bill. ;|c28 cm.,,,,,,"  |aTitle from cover.;  |aFinal report, 1972-73.;  |aSponsoring military activity: Naval Weapons Center, China Lake, California 93555.  Work request no. 3-3006.;  |a""18 June 1973""--Cover.;  |a""NPS-59CG73061A""--Cover.;  |aAuthor(s)key words: Heat transfer, conduction, radiation, convection, ordnance, concentric cylinders, dump storage, environmental effects, liquid crystals.",,  |aIncludes bibliographical references (p. 58),,"  |a""Approved for public release; distribution unlimited""--Cover.",  |aTechnical report; 1973.,"  |aThe heat transfer characteristics of a container stored rocket motor have been investigated using analytical and experimental techniques. Comparison between analytically predicted and experimentally determined values of temperature are within the estimated experimental uncertainty of plus or minus 3F. The results of the analytical solution may be used to predict maximum and minimum temperatures, thermal time lags, and temperature gradients throughout the rocket motor. For convenience, maximum temperature and time lag information is presented in nomograph form as a function of three parameters: normalized radial location, normalized frequency, and normalized gap conductance. These three parameters control the temperature behavior of the motor. It is proposed that the nomographs will be a useful tool for thermally optimizing future container designs.",,,,,,,,  |ack/ 9/15/09.,,,,, 0|aHeat|xTransmission|xMathematical models.; 0|aRocket engines|xStorage.; 0|aTemperature control.,,,,"1 |aWirzburger, Allen Henry.",2 |aNaval Postgraduate School (U.S.),,,,,,,,  |lgen|nL|aQC320.2|b.C7|s1|tnorm|u00001|i32768001689946,,,  |aC0|bAD#,,,
ocn428698869,OCoLC,2.01007E+13,m        b        ,cr cga---uuuuu,090730s1974    caua     bt  f000 0 eng d,,,,,,,  |a(Sirsi) o428698869;  |a;  |a;  |a;  |a;  |a;  |a;  |a;  |a;  |a;  |a,  |aADA002458|bDTI,  |aAD#|cAD#,,,,  |aAD#A,,,,,,0 |aD 208.14/2:NPS-59CG74111,  |aNPS-59CG74111,,,"1 |aCooper, Thomas Edward,|d1943-",,,"12|aA liquid crystal thermographic study of a heated cyclinder in cross flow /|c[by] Thomas E. Cooper, Richard J. Field [and] John F. Meyer.",,,,"  |aMonterey, Calif. :|bNaval Postgraduate School,|c1974.",,  |a50 p. :|bill. ;|c28 cm.,,,,,,"  |aTitle from cover.;  |a""Prepared for: Chief of Naval Research, Arlington, Virginia 22217, and Naval Weapons Center, China Lake, California 93555""--Cover.;  |a""November 1974""--Cover.;  |a""NPS-59Cg74111""--Cover.;  |a""Annual report for period January 1974 - October 1974.""",,  |aIncludes bibliographical references (p. 45-49),,"  |a""Approved for public release; distribution unlimited""--Cover.",  |aTechnical report; 1974.,"  |aA thermographic technique is presented that allows visual determination of both qualitative and quantitative heat transfer and fluid flow information to be obtained on heated objects placed in forced convection environments.  The technique employs cholesteric liquid crystals as the temperature sensing agent.  The liquid crystals indicate temperature by exhibiting brilliant changes in color over discrete, reproducible temperature ranges.  The technique has been used to quickly and easily obtain information on the variation of the Nusselt number on right circular cylinder placed in a crossflow of air.  In addition to yielding precise quantitative heat transfer information, the liquid crystal thermographic technique afforded the opportunity to visually observe the effects of the flow separation, the separation bubble region, the turbulent boundary layer, and the turbulent wake on the surface temperature of the heated cylinder.  The experimental results obtained using the liquid crystal thermographic technique are in close agreement with results obtained by other investigators who have used standard measuring techniques. (Author)",,,,,,,,,,,,, 0|aHeat|xTransmission|xResearch.; 0|aFluid dynamics.,,,,"1 |aField, Richard Johns.;1 |aMeyer, John Ferrandello.",2 |aNaval Postgraduate School (U.S.),,,,,,,,  |lgen|nL|aQC320.2|b.C74|s1|tnorm|u00001|i32768001690035,,,  |aC0|bAD#,,,
